area,posicao,co_posicao_abs,co_item,habilidade_cod,habilidade_desc,gabarito,n_valido,pct_acerto,distrator_campeao,pct_campeao_entre_errados,pct_campeao_da_base,lift_vs_uniforme,param_a,param_b,param_c,dif_tri,lingua
LC,39,39,152784,LCH30,Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem.,C,838467,61.5,B,60.2,23.2,2.41,2.93851,0.36901,0.18829,536.9,
LC,40,40,150607,LCH16,Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.,A,833745,34.4,E,36.3,23.8,1.45,1.60463,1.535,0.21298,653.5,
LC,41,41,153550,LCH12,"Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais.",B,838060,41.1,A,37.8,22.3,1.51,1.56252,0.97856,0.22899,597.9,
LC,42,42,66526,LCH25,"Identificar, em textos de diferentes gêneros, as marcas linguísticas que singularizam as variedades linguísticas sociais, regionais e de registro.",A,837398,44.5,E,39.6,22.0,1.58,2.68424,0.7301,0.15132,573.0,
LC,43,43,157593,LCH3,"Relacionar informações geradas nos sistemas de comunicação e informação, considerando a função social desses sistemas.",D,836451,43.3,E,39.3,22.3,1.57,1.17057,0.6619,0.00779,566.2,
LC,44,44,17166,LCH24,"Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras.",D,837284,52.5,C,42.0,20.0,1.68,3.22461,0.66444,0.25447,566.4,
LC,45,45,120714,LCH4,Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação.,C,838439,55.5,A,40.2,17.9,1.61,2.622,0.59532,0.25859,559.5,
MT,1,136,60344,MTH4,Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas.,C,791720,46.0,B,32.0,17.3,1.28,1.84431,0.87782,0.13438,587.8,
MT,2,137,96778,MTH28,Resolver situação-problema que envolva conhecimentos de estatística e probabilidade.,B,792177,17.0,A,44.7,37.1,1.79,3.12993,1.8995,0.08299,690.0,
MT,3,138,125905,MTH6,Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional.,E,791115,28.7,D,32.4,23.1,1.3,2.19978,1.77865,0.17051,677.9,
MT,4,139,86942,MTH9,Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano.,C,791442,36.4,D,40.8,25.9,1.63,1.01265,2.90829,0.31125,790.8,
MT,5,140,141568,MTH18,Avaliar propostas de intervenção na realidade envolvendo variação de grandezas.,E,791121,9.4,A,41.5,37.6,1.66,3.46557,2.92476,0.07945,792.5,
MT,6,141,63293,MTH5,Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos.,C,791253,34.2,D,32.4,21.3,1.3,1.7134,1.91607,0.24889,691.6,
MT,7,142,38222,MTH27,Calcular medidas de tendência central ou de dispersão de um conjunto de dados expressos em uma tabela de frequências de dados agrupados (não em classes) ou em gráficos.,C,791800,41.8,D,30.7,17.9,1.23,1.5176,0.98928,0.20278,598.9,
MT,8,143,95625,MTH17,Analisar informações envolvendo a variação de grandezas como recurso para a construção de argumentação.,A,791752,49.5,E,48.4,24.4,1.93,1.20166,0.77428,0.16195,577.4,
MT,9,144,49136,MTH7,Identificar características de figuras planas ou espaciais.,D,790282,19.8,C,38.5,30.9,1.54,1.41236,2.97953,0.14906,798.0,
MT,10,145,117764,MTH20,Interpretar gráfico cartesiano que represente relações entre grandezas.,D,791883,63.0,E,37.4,13.8,1.5,1.4441,-0.18872,0.19786,481.1,
MT,11,146,153134,MTH3,Resolver situação-problema envolvendo conhecimentos numéricos.,B,791694,53.2,A,56.0,26.2,2.24,1.25353,0.84993,0.21314,585.0,
MT,12,147,50210,MTH24,Utilizar informações expressas em gráficos ou tabelas para fazer inferências.,E,791787,40.3,C,54.6,32.6,2.18,2.4952,0.97163,0.106,597.2,
MT,13,148,125926,MTH11,Utilizar a noção de escalas na leitura de representação de situação do cotidiano.,C,791007,35.8,A,57.3,36.8,2.29,1.87604,1.07428,0.14024,607.4,
MT,14,149,16540,MTH8,Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma.,B,791318,29.1,C,36.7,26.0,1.47,2.35807,2.35402,0.24099,735.4,
MT,15,150,31953,MTH16,"Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais.",D,791768,38.7,C,45.6,28.0,1.82,2.05503,1.52998,0.26701,653.0,
MT,16,151,96979,MTH1,"Reconhecer, no contexto social, diferentes significados e representações dos números e operações - naturais, inteiros, racionais ou reais.",D,791947,61.8,A,29.3,11.2,1.17,1.5765,0.09067,0.17135,509.1,
MT,17,152,16995,MTH28,Resolver situação-problema que envolva conhecimentos de estatística e probabilidade.,D,792003,23.9,C,53.9,41.0,2.16,2.02208,2.22726,0.16081,722.7,
MT,18,153,88952,MTH22,Utilizar conhecimentos algébricos/geométricos como recurso para a construção de argumentação.,A,789178,19.7,B,36.1,29.0,1.45,2.27648,2.43408,0.15585,743.4,
MT,19,154,83162,MTH26,Analisar informações expressas em gráficos ou tabelas como recurso para a construção de argumentos.,C,791299,34.7,A,48.0,31.4,1.92,1.55368,1.18413,0.18289,618.4,
MT,20,155,84096,MTH2,Identificar padrões numéricos ou princípios de contagem.,B,791000,25.8,A,36.8,27.3,1.47,0.94228,2.28567,0.11961,728.6,
MT,21,156,15396,MTH11,Utilizar a noção de escalas na leitura de representação de situação do cotidiano.,E,791190,27.5,B,26.2,19.0,1.05,2.36212,1.38945,0.08082,638.9,
MT,22,157,117625,MTH19,Identificar representações algébricas que expressem a relação entre grandezas.,C,791386,42.8,A,34.4,19.7,1.38,2.7122,1.24373,0.27269,624.4,
MT,23,158,117856,MTH18,Avaliar propostas de intervenção na realidade envolvendo variação de grandezas.,C,789519,33.6,B,30.0,20.0,1.2,2.16927,1.82953,0.22624,683.0,
MT,24,159,41895,MTH12,Resolver situação-problema que envolva medidas de grandezas.,D,791359,45.7,C,39.7,21.5,1.59,1.45957,1.3946,0.2655,639.5,
MT,25,160,95816,MTH19,Identificar representações algébricas que expressem a relação entre grandezas.,E,788509,15.1,C,36.0,30.6,1.44,0.9255,4.23744,0.12086,923.7,
MT,26,161,141518,MTH6,Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional.,A,791150,32.2,B,34.5,23.4,1.38,2.02129,1.26856,0.1775,626.9,
MT,27,162,83575,MTH23,Avaliar propostas de intervenção na realidade utilizando conhecimentos algébricos.,B,788604,25.5,C,30.8,22.9,1.23,2.38253,2.46253,0.18571,746.3,
MT,28,163,96852,MTH25,Resolver problema com dados apresentados em tabelas ou gráficos.,B,791188,59.1,A,34.4,14.0,1.37,1.55357,0.3164,0.23751,531.6,
MT,29,164,28216,MTH8,Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma.,A,788717,32.9,B,30.1,20.2,1.2,1.10653,1.83497,0.18515,683.5,
MT,30,165,49227,MTH29,Utilizar conhecimentos de estatística e probabilidade como recurso para a construção de argumentação.,D,790012,29.6,C,41.5,29.2,1.66,1.25608,1.96379,0.24858,696.4,
MT,31,166,63713,MTH30,Avaliar propostas de intervenção na realidade utilizando conhecimentos de estatística e probabilidade.,E,791083,24.6,C,46.2,34.8,1.85,2.59281,1.73411,0.09568,673.4,
MT,32,167,44306,MTH25,Resolver problema com dados apresentados em tabelas ou gráficos.,D,790079,29.0,C,32.5,23.0,1.3,3.86308,1.72136,0.21606,672.1,
MT,33,168,63313,MTH4,Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas.,E,789879,50.6,B,40.2,19.8,1.61,1.42101,0.31713,0.01503,531.7,
MT,34,169,111771,MTH15,Identificar a relação de dependência entre grandezas.,A,790519,18.0,B,30.5,25.0,1.22,2.15434,2.18988,0.10351,719.0,
MT,35,170,111673,MTH14,Avaliar proposta de intervenção na realidade utilizando conhecimentos geométricos relacionados a grandezas e medidas.,B,789730,33.5,C,34.8,23.1,1.39,2.2167,2.02265,0.27721,702.3,
MT,36,171,141562,MTH9,Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano.,E,790010,13.4,B,26.6,23.0,1.06,2.33222,2.57378,0.10579,757.4,
MT,38,173,111422,MTH13,Avaliar o resultado de uma medição na construção de um argumento consistente.,A,788858,23.8,E,36.3,27.7,1.45,1.88957,2.16503,0.17038,716.5,
MT,40,175,27847,MTH3,Resolver situação-problema envolvendo conhecimentos numéricos.,C,789658,15.4,A,32.8,27.7,1.31,1.7861,3.4637,0.09228,846.4,
MT,41,176,28587,MTH16,"Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais.",C,790109,40.6,D,35.4,21.0,1.42,1.69872,1.05549,0.16885,605.5,
MT,42,177,44510,MTH12,Resolver situação-problema que envolva medidas de grandezas.,B,789132,29.8,C,34.6,24.3,1.38,3.04149,2.37391,0.30057,737.4,
MT,43,178,8460,MTH29,Utilizar conhecimentos de estatística e probabilidade como recurso para a construção de argumentação.,E,789785,14.1,C,32.9,28.3,1.32,1.92684,2.8078,0.08127,780.8,
MT,44,179,126023,MTH10,Identificar relações entre grandezas e unidades de medida.,A,790784,45.3,C,35.5,19.5,1.42,1.6235,0.45598,0.1784,545.6,
MT,45,180,84405,MTH2,Identificar padrões numéricos ou princípios de contagem.,D,790933,17.9,C,30.4,25.0,1.22,2.5667,2.27494,0.13245,727.5,
